station;audio_url;data_url
Record;https://radiorecord.hostingradio.ru/rr_main96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=15016
Russian Mix;https://radiorecord.hostingradio.ru/rus96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=537
Хиты всех времен;https://radiorecord.hostingradio.ru/alltimers96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44905
Супердискотека 90-х;https://radiorecord.hostingradio.ru/sd9096.aacp;https://app-api.radiorecord.ru/api/station/history/?id=539
Russian Hits;https://radiorecord.hostingradio.ru/russianhits96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=519
Колбасный Цех;https://radiorecord.hostingradio.ru/pump96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=553
Festivals;https://radiorecord.hostingradio.ru/livedjsets96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43173
Deep;https://radiorecord.hostingradio.ru/deep96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=528
Chill-Out;https://radiorecord.hostingradio.ru/chil96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=534
Сказки MC V;https://radiorecord.hostingradio.ru/skazki96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44373
На шашлыки!;https://radiorecord.hostingradio.ru/nashashlyki96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43817
Megamix;https://radiorecord.hostingradio.ru/mix96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=520
Rock;https://radiorecord.hostingradio.ru/rock96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=554
Remix;https://radiorecord.hostingradio.ru/rmx96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=548
Гоп FM;https://radiorecord.hostingradio.ru/gop96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=556
Big Hits;https://radiorecord.hostingradio.ru/bighits96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=501
Chill House;https://radiorecord.hostingradio.ru/chillhouse96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=515
Рекорд 00-х;https://radiorecord.hostingradio.ru/200096.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43264
Melodic Techno;https://radiorecord.hostingradio.ru/melodic96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44688
Record 80-х;https://radiorecord.hostingradio.ru/198096.aacp;https://app-api.radiorecord.ru/api/station/history/?id=514
Нафталин FM;https://radiorecord.hostingradio.ru/naft96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=561
Маятник Фуко;https://radiorecord.hostingradio.ru/mf96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=495
Trancemission;https://radiorecord.hostingradio.ru/tm96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=533
Summer Dance;https://radiorecord.hostingradio.ru/summerparty96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=42725
Russian Gold;https://radiorecord.hostingradio.ru/russiangold96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=524
Beach Party;https://radiorecord.hostingradio.ru/beach96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44331
Pirate Station;https://radiorecord.hostingradio.ru/ps96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=536
Mashup;https://radiorecord.hostingradio.ru/mashup96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44787
Innocence;https://radiorecord.hostingradio.ru/ibiza96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=494
Медляк FM;https://radiorecord.hostingradio.ru/mdl96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=555
Party 24/7;https://radiorecord.hostingradio.ru/party96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=42891
Phonk;https://radiorecord.hostingradio.ru/phonk96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43174
Record Gold;https://radiorecord.hostingradio.ru/gold96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=493
Руки Вверх!;https://radiorecord.hostingradio.ru/rv96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=14954
На Хайпе;https://radiorecord.hostingradio.ru/hype96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43455
Rap Hits;https://radiorecord.hostingradio.ru/rap96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=511
Rap Classics;https://radiorecord.hostingradio.ru/rapclassics96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=512
Trance Classics;https://radiorecord.hostingradio.ru/trancehits96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=510
D'n'B Classics;https://radiorecord.hostingradio.ru/drumhits96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=523
Armin van Buuren;https://radiorecord.hostingradio.ru/armin96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43697
Summer Lounge;https://radiorecord.hostingradio.ru/summerlounge96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43337
Organic;https://radiorecord.hostingradio.ru/organic96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=42715
Ultra Music Festival;https://radiorecord.hostingradio.ru/ultra96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44215
VIP House;https://radiorecord.hostingradio.ru/vip96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=538
Breaks;https://radiorecord.hostingradio.ru/brks96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=544
Liquid Funk;https://radiorecord.hostingradio.ru/liquidfunk96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=522
Workout;https://radiorecord.hostingradio.ru/workout96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43339
EDM;https://radiorecord.hostingradio.ru/club96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=529
Bass House;https://radiorecord.hostingradio.ru/jackin96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=541
GOA/PSY;https://radiorecord.hostingradio.ru/goa96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=531
10's Dance;https://radiorecord.hostingradio.ru/201096.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43451
Trancehouse;https://radiorecord.hostingradio.ru/trancehouse96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=542
Black Rap;https://radiorecord.hostingradio.ru/yo96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=558
Techno;https://radiorecord.hostingradio.ru/techno96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=547
Tropical;https://radiorecord.hostingradio.ru/trop96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=530
Lo-Fi;https://radiorecord.hostingradio.ru/lofi96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=42532
Tech House;https://radiorecord.hostingradio.ru/techouse96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=42509
Trap;https://radiorecord.hostingradio.ru/trap96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=552
Technopop;https://radiorecord.hostingradio.ru/technopop96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=526
70's Dance;https://radiorecord.hostingradio.ru/197096.aacp;https://app-api.radiorecord.ru/api/station/history/?id=516
Dream Dance;https://radiorecord.hostingradio.ru/dream96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=502
Neurofunk;https://radiorecord.hostingradio.ru/neurofunk96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=507
Ambient;https://radiorecord.hostingradio.ru/ambient96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=42650
Record Classix;https://radiorecord.hostingradio.ru/classix96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44183
Record Club Show;https://radiorecord.hostingradio.ru/clubshow96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44188
Eurodance;https://radiorecord.hostingradio.ru/eurodance96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=525
Lo-Fi House;https://radiorecord.hostingradio.ru/lofihouse96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43925
House Hits;https://radiorecord.hostingradio.ru/househits96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=500
Uplifting;https://radiorecord.hostingradio.ru/uplift96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=504
Feel;https://radiorecord.hostingradio.ru/feel96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44168
Tiesto;https://radiorecord.hostingradio.ru/tiesto96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43696
A State of Trance;https://radiorecord.hostingradio.ru/asot96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44166
Веснушка FM;https://radiorecord.hostingradio.ru/deti96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=14718
Симфония FM;https://radiorecord.hostingradio.ru/symph96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=557
Minimal/Tech;https://radiorecord.hostingradio.ru/mini96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=535
TOP 100 EDM;https://radiorecord.hostingradio.ru/top100edm96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43172
Dream Pop;https://radiorecord.hostingradio.ru/dreampop96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=42602
House Classics;https://radiorecord.hostingradio.ru/houseclss96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=505
David Guetta;https://radiorecord.hostingradio.ru/guetta96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43695
DJ Цветкоff;https://radiorecord.hostingradio.ru/tsvetkov96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44212
Disco/Funk;https://radiorecord.hostingradio.ru/discofunk96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=527
Hard Bass;https://radiorecord.hostingradio.ru/hbass96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=551
Afro House;https://radiorecord.hostingradio.ru/afro96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43927
Rave FM;https://radiorecord.hostingradio.ru/rave96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=559
Nu Dance;https://radiorecord.hostingradio.ru/nudance96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43926
60's Dance;https://radiorecord.hostingradio.ru/cadillac96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=513
Lady Waks;https://radiorecord.hostingradio.ru/ladywaks96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44167
Dancecore;https://radiorecord.hostingradio.ru/dc96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=546
Future House;https://radiorecord.hostingradio.ru/fut96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=532
Darkside;https://radiorecord.hostingradio.ru/darkside96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=503
Future Rave;https://radiorecord.hostingradio.ru/futurerave96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43454
Reggae;https://radiorecord.hostingradio.ru/reggae96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43338
Electro;https://radiorecord.hostingradio.ru/elect96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=496
Hardstyle;https://radiorecord.hostingradio.ru/teo96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=550
Dubstep;https://radiorecord.hostingradio.ru/dub96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=545
Progressive;https://radiorecord.hostingradio.ru/progr96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=498
Nejtrino & Baur;https://radiorecord.hostingradio.ru/nejtrinobaur96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44209
Synthwave;https://radiorecord.hostingradio.ru/synth96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=499
Latina Dance;https://radiorecord.hostingradio.ru/latina96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43452
DJ Gvozd;https://radiorecord.hostingradio.ru/djgvozd96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=44187
EDM Classics;https://radiorecord.hostingradio.ru/edmhits96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=506
Tecktonik;https://radiorecord.hostingradio.ru/tecktonik96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=508
Christmas Chill;https://radiorecord.hostingradio.ru/christmaschill96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43069
Christmas;https://radiorecord.hostingradio.ru/christmas96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=42375
Jungle;https://radiorecord.hostingradio.ru/jungle96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=521
Русская Зима;https://radiorecord.hostingradio.ru/ruszima96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43601
Hypnotic;https://radiorecord.hostingradio.ru/hypno96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=543
UK Garage;https://radiorecord.hostingradio.ru/ukgarage96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=43171
Гастарбайтер FM;https://radiorecord.hostingradio.ru/gast96.aacp;https://app-api.radiorecord.ru/api/station/history/?id=560
